2018,Abuso sexual cometido  por personal perteneciente a las fuerzas policiales o de seguridad en ocasion de sus funciones., Buenos Aires ,1;
"2018,""Abuso sexual cometido contra un menor de 18 a–os, aprovechando la situacion de convivencia preexistente con el mismo."", Buenos Aires ,174";
"2018,""Abuso sexual cometido por autor que tuviere conocimiento de ser portador de una enfermedad de transmision sexual grave, y hubiere existido peligro de contagio."", Buenos Aires ,2";
"2018,""Abuso sexual cometido por dos o mas personas, o con armas."", Buenos Aires ,20";
2018,Abuso sexual con grave da–o a la salud fisica o mental de la victima, Buenos Aires ,15;
2018,Abuso sexual con sometimiento  sexual gravemente ultrajante para la victima, Buenos Aires ,117;
"2018,""Abuso sexual con violencia, amenaza, abuso coactivo o intimidatorio de una relacion de dependencia, de autoridad, o de poder, o aprovechamiento de que la victima por cualquier causa no haya podido consentir libremente la accion."", Buenos Aires ,3";
2018,Abuso sexual seguido de muerte, Buenos Aires ,0;
2018,Acceso carnal fraudulento, Buenos Aires ,1;
2018,Adulterio, Buenos Aires ,0;
2018,Corrupcion o prostitucion de mayores, Buenos Aires ,1;
2018,Estupro, Buenos Aires ,11;
2018,Estupro agravado, Buenos Aires ,0;
2018,Exhibiciones obscenas, Buenos Aires ,24;
2018,Grooming, Buenos Aires ,8;
2018,lesiones, Buenos Aires ,2;
2018,Ley 26.904 (Grooming), Buenos Aires ,10;
2018,Promocion o facilitacion de la corrupcion de menores, Buenos Aires ,60;
2018,Promocion o facilitacion de la corrupcion de menores calificada, Buenos Aires ,22;
2018,Promocion o facilitacion de la prostitucion, Buenos Aires ,15;
2018,Promocion o facilitacion de la prostitucion calificada, Buenos Aires ,14;
2018,Promocion y facilitacion de la prostitucion  o corrupcion de mayores, Buenos Aires ,13;
2018,Proxenetismo, Buenos Aires ,20;
2018,Proxenetismo agravado, Buenos Aires ,1;
2018,Publicaciones y reproducciones obscenas, Buenos Aires ,26;
2018,Rapto, Buenos Aires ,8;
2018,Rapto calificado, Buenos Aires ,2;
2018,Rapto de menor impuber, Buenos Aires ,0;
2018,Trata de menores, Buenos Aires ,2;
2018,Trata de mujeres, Buenos Aires ,7;
2018,Violacion, Buenos Aires ,1;
2018,Violacion agravada, Buenos Aires ,0;
2018,Violacion calificada, Buenos Aires ,1;
2019,Delitos contra las personas (culposos), Buenos Aires ,578;
2019,Delitos contra las personas (dolosos), Buenos Aires ,3930;
2019,Delitos contra el honor, Buenos Aires ,3;
2019,Delitos contra la integridad sexual, Buenos Aires ,1417;
2019,Delitos contra el estado civil, Buenos Aires ,7;
2019,Delitos contra la libertad, Buenos Aires ,4374;
2019,Delitos contra la propiedad, Buenos Aires ,8806;
2019,Delitos contra la seguridad publica, Buenos Aires ,2353;
2019,Delitos contra el orden publico, Buenos Aires ,108;
2019,Delitos contra la administracion publica, Buenos Aires ,4058;
2019,Delitos contra la fe publica, Buenos Aires ,144;
2019,Delitos previstos por Leyes Especiales y Decretos Ley, Buenos Aires ,891;
2019,Delitos previstos por Leyes de Estupefacientes, Buenos Aires ,1659;
2019,Delitos contra el orden economico y financiero, Buenos Aires ,2;
2019,Delitos de lesa humanidad (Ataque generalizado o sistematico contra una poblacion civil), Buenos Aires ,0;
2019,Otros, Buenos Aires ,26;
2019,Abandono de parientes y conyuge, Buenos Aires ,3;
2019,Abandono de persona, Buenos Aires ,5;
2019,Abandono de persona calificado, Buenos Aires ,2;
2019,Abandono de persona seguido de muerte, Buenos Aires ,0;
2019,Aborto, Buenos Aires ,4;
2019,Aborto cometido por profesional, Buenos Aires ,0;
2019,Aborto con consentimiento seguido de muerte, Buenos Aires ,0;
2019,Aborto preterintencional, Buenos Aires ,0;
2019,Abuso de armas, Buenos Aires ,287;
2019,Agresion con toda arma, Buenos Aires ,38;
2019,Disparo de arma de fuego con herida, Buenos Aires ,1;
2019,Disparo de arma de fuego sin herir, Buenos Aires ,20;
2019,Disparo de arma de fuego y agresion agravada, Buenos Aires ,36;
2019,Disparo de arma de fuego y agresion en estado de emocion violenta, Buenos Aires ,1;
2019,Femicidio, Buenos Aires ,29;
"2019,""Homicidio """"criminis causa"""""", Buenos Aires ,40";
2019,Homicidio calificado, Buenos Aires ,131;
"2019,""Homicidio calificado a miembros de seguridad, policial o penitenciaria"", Buenos Aires ,2";
2019,Homicidio calificado por el vinculo, Buenos Aires ,45;
2019,Homicidio con el proposito de causar sufrimiento a una persona con la que se mantiene o ha mantenido una relacion, Buenos Aires ,0;
"2019,""Homicidio con ensa–amiento, alevosia, insidia"", Buenos Aires ,14";
2019,Homicidio en estado de emocion violenta, Buenos Aires ,6;
2019,Homicidio en estado de emocion violenta calificado, Buenos Aires ,0;
2019,Homicidio en exceso de la legitima defensa, Buenos Aires ,19;
2019,Homicidio en ri–a, Buenos Aires ,12;
2019,Homicidio en ri–a calificado, Buenos Aires ,1;
"2019,""Homicidio por abuso de su funcion o cargo, cuando fuere miembro integrante de la fuerza de seguridad, policiales o del servicio penitenciario"", Buenos Aires ,3";
2019,Homicidio por precio o promesa remuneratoria, Buenos Aires ,1;
2019,Homicidio premeditado; pluralidad de agentes, Buenos Aires ,8
2019,Homicidio preterintencional, Buenos Aires ,9;
2019,Homicidio simple, Buenos Aires ,269;
2019,Lesiones en estado de emocion violenta calificadas, Buenos Aires ,1;
2019,Lesiones en ri–a calificadas, Buenos Aires ,2;
2019,Lesiones graves, Buenos Aires ,312;
2019,Lesiones graves calificadas, Buenos Aires ,115;
2019,Lesiones graves o gravisimas en ri–a, Buenos Aires ,5;
2019,Lesiones gravisimas, Buenos Aires ,7;
2019,Lesiones gravisimas calificadas, Buenos Aires ,8;
2019,Lesiones leves, Buenos Aires ,826;
2019,Lesiones leves calificadas, Buenos Aires ,1662;
2019,Lesiones leves en ri–a, Buenos Aires ,6;
2019,Abuso sexual, Buenos Aires ,365;
"2019,""Abuso sexual cometido por ascendiente, descendiente, a fin en linea recta, hermano, tutor, curador, ministro de algun culto reconocido o no, encargado de la educacion o de la guarda"", Buenos Aires ,118";
2019,Abuso sexual agravado, Buenos Aires ,343;
2019,Abuso sexual agravado por acceso carnal, Buenos Aires ,213;
"2019,""Abuso sexual cometido contra un menor de 18 a–os, aprovechando la situacion de convivencia preexistente con el mismo."", Buenos Aires ,121";
"2019,""Abuso sexual cometido por autor que tuviere conocimiento de ser portador de una enfermedad de transmision sexual grave, y hubiere existido peligro de contagio."", Buenos Aires ,1";
"2019,""Abuso sexual cometido por dos o mas personas, o con armas."", Buenos Aires ,6";
2019,Abuso sexual con grave da–o a la salud fisica o mental de la victima, Buenos Aires ,4;
2019,Abuso sexual con sometimiento sexual gravemente ultrajante para la victima, Buenos Aires ,71;
"2019,""Abuso sexual con violencia, amenaza, abuso coactivo o intimidatorio de una relacion de dependencia, de autoridad, o de poder, o aprovechamiento de que la victima por cualquier causa no haya podido consentir libremente la accion."", Buenos Aires ,4";
2019,Corrupcion o prostitucion de mayores, Buenos Aires ,1;
2019,Estupro, Buenos Aires ,21;
2019,Estupro agravado, Buenos Aires ,2;
2019,Exhibiciones obscenas, Buenos Aires ,30;
2019,Grooming, Buenos Aires ,15;
2019,Promocion o facilitacion de la corrupcion de menores, Buenos Aires ,22;
2019,Promocion o facilitacion de la corrupcion de menores calificada, Buenos Aires ,16;
2019,Promocion o facilitacion de la prostitucion, Buenos Aires ,9;
2019,Promocion o facilitacion de la prostitucion calificada, Buenos Aires ,6;
2019,Promocion y facilitacion de la prostitucion o corrupcion de mayores, Buenos Aires ,6;
2019,Proxenetismo, Buenos Aires ,6;
2019,Proxenetismo agravado, Buenos Aires ,0;
2019,Publicaciones y reproducciones obscenas, Buenos Aires ,31;
2019,Rapto, Buenos Aires ,3;
2019,Rapto calificado, Buenos Aires ,3;
2019,Rapto de menor impuber, Buenos Aires ,0;
2019,Trata de mujeres, Buenos Aires ,0;
2020,Delitos contra las personas (culposos), Buenos Aires ,344;
2020,Delitos contra las personas (dolosos), Buenos Aires ,4777;
2020,Delitos contra el honor, Buenos Aires ,2;
2020,Delitos contra la integridad sexual, Buenos Aires ,1330;
2020,Delitos contra el estado civil, Buenos Aires ,2;
2020,Delitos contra la libertad, Buenos Aires ,3239;
2020,Delitos contra la propiedad, Buenos Aires ,11095;
2020,Delitos contra la seguridad publica, Buenos Aires ,1744;
2020,Delitos contra el orden publico, Buenos Aires ,64;
2020,Delitos contra la administracion publica, Buenos Aires ,2585;
2020,Delitos contra la fe publica, Buenos Aires ,84;
2020,Delitos previstos por Leyes Especiales y Decretos Ley, Buenos Aires ,916;
2020,Delitos previstos por Leyes de Estupefacientes, Buenos Aires ,2111;
2020,Delitos contra el orden economico y financiero, Buenos Aires ,0;
2020,Otros, Buenos Aires ,81;
2020,Abandono de parientes y conyuge, Buenos Aires ,1;
2020,Abandono de persona, Buenos Aires ,4;
2020,Abandono de persona calificado, Buenos Aires ,5;
2020,Abandono de persona seguido de muerte, Buenos Aires ,3;
